Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-01-02,70.63,70.66,68.79,69.74,1429230.0
2019-01-03,69.22,69.81,69.02,69.05,1426463.0
2019-01-04,69.8,71.77,69.64,71.71,1857639.0
2019-01-07,71.75,72.32,71.27,72.12,1238553.0
2019-01-08,71.85,73.68,71.28,72.21,1865750.0
2019-01-09,73.08,73.78,72.32,72.95,1921526.0
2019-01-10,72.4,72.89,71.87,72.53,1569810.0
2019-01-11,72.4,72.84,70.63,71.83,2009338.0
2019-01-14,71.03,72.3,71.03,71.59,1360714.0
2019-01-15,72.1,73.23,71.13,71.62,1446376.0
2019-01-16,71.65,71.81,71.05,71.53,1296314.0
2019-01-17,70.89,71.43,70.19,71.26,1319472.0
2019-01-18,71.86,73.62,71.75,73.34,2590438.0
2019-01-21,73.5,73.59,72.71,73.03,739929.0
2019-01-22,72.48,72.95,72.3,72.73,1068277.0
2019-01-23,72.0,72.59,71.62,72.23,1380855.0
2019-01-24,72.15,73.12,71.9,73.12,1419799.0
2019-01-25,73.5,74.75,73.5,74.35,2173838.0
2019-01-28,74.31,74.47,73.57,73.98,1335145.0
2019-01-29,73.55,74.45,73.01,73.85,1115739.0
2019-01-30,73.9,74.14,73.09,73.33,1187607.0
2019-01-31,74.21,74.62,72.36,73.46,1648320.0
2019-02-01,73.75,74.47,73.28,74.14,1529328.0
2019-02-04,73.99,74.25,72.86,73.24,1527571.0
2019-02-05,73.61,73.73,73.0,73.61,1579217.0
2019-02-06,73.39,73.79,72.89,73.65,1290915.0
2019-02-07,73.2,73.42,71.22,71.22,2602996.0
2019-02-08,70.69,70.88,69.01,69.53,2549287.0
2019-02-11,69.61,69.99,68.57,69.41,1964372.0
2019-02-12,69.95,70.36,69.17,69.91,1725806.0
2019-02-13,70.5,70.62,69.68,70.39,1785637.0
2019-02-14,71.0,71.11,69.34,69.35,1847105.0
2019-02-15,69.1,71.16,68.11,70.77,2744797.0
2019-02-18,70.2,71.02,69.96,70.59,1095834.0
2019-02-19,70.24,71.2,70.09,71.04,1136405.0
2019-02-20,71.11,73.25,71.11,72.51,2063029.0
2019-02-21,72.55,73.4,72.47,73.12,1637768.0
2019-02-22,72.97,73.75,72.81,73.13,1312550.0
2019-02-25,73.79,74.44,73.4,73.7,1786026.0
2019-02-26,73.24,74.24,72.91,74.0,1437733.0
2019-02-27,73.69,74.43,73.5,74.24,1158100.0
2019-02-28,73.88,74.45,73.59,74.31,1118481.0
2019-03-01,74.9,75.54,74.63,74.75,1458575.0
2019-03-04,75.33,75.4,74.57,74.67,990670.0
2019-03-05,74.5,75.16,74.4,75.06,1167940.0
2019-03-06,74.21,74.81,73.61,74.53,1277239.0
2019-03-07,73.8,73.81,72.3,73.09,1980823.0
2019-03-08,72.0,72.23,71.41,72.16,1634876.0
2019-03-11,72.25,73.23,71.92,73.18,1357029.0
2019-03-12,73.7,73.94,72.76,73.1,1243429.0
2019-03-13,72.84,73.77,72.83,73.63,1117529.0
2019-03-14,73.74,74.71,73.51,73.78,1541976.0
2019-03-15,74.22,75.18,72.77,74.09,4131566.0
2019-03-18,74.3,74.42,73.9,74.17,954628.0
2019-03-19,74.14,76.5,74.1,75.72,1907389.0
2019-03-20,75.91,75.91,71.28,71.98,4291080.0
2019-03-21,71.81,72.39,70.83,71.15,1763972.0
2019-03-22,71.25,71.42,69.18,69.6,3025563.0
2019-03-25,69.0,69.69,68.78,68.92,1544865.0
2019-03-26,68.89,68.93,67.91,67.91,2153100.0
2019-03-27,68.5,68.95,67.73,68.23,1876013.0
2019-03-28,67.99,68.59,67.74,67.89,1416893.0
2019-03-29,68.46,68.99,68.06,68.75,1887263.0
2019-04-01,69.64,70.63,69.59,69.7,2396741.0
2019-04-02,69.73,71.92,69.68,71.25,2622991.0
2019-04-03,72.1,72.87,72.0,72.58,2166661.0
2019-04-04,72.25,73.85,72.15,73.34,2168174.0
2019-04-05,73.47,74.14,73.47,73.79,1427259.0
2019-04-08,72.39,73.73,72.29,73.57,1325909.0
2019-04-09,73.13,74.06,72.89,73.2,1281897.0
2019-04-10,72.94,73.58,72.89,73.19,1264318.0
2019-04-11,73.33,73.84,72.77,73.51,1287851.0
2019-04-12,73.0,75.54,72.64,75.29,2612728.0
2019-04-15,75.13,75.99,74.91,75.65,1175155.0
2019-04-16,76.0,76.68,75.73,76.4,1587145.0
2019-04-17,77.1,78.04,76.31,77.25,2357190.0
2019-04-18,77.2,78.3,76.85,77.75,2868292.0
2019-04-23,77.75,78.19,77.41,77.5,1139985.0
2019-04-24,76.4,77.27,75.89,76.47,1779199.0
2019-04-25,76.32,76.56,75.77,75.78,1453960.0
2019-04-26,75.91,76.46,75.57,76.2,1289602.0
2019-04-29,76.16,76.76,75.79,75.89,899246.0
2019-04-30,75.51,75.9,75.19,75.9,1217765.0
2019-05-02,75.69,76.78,75.48,75.8,1694344.0
2019-05-03,75.53,75.8,75.26,75.67,1047600.0
2019-05-06,73.02,74.02,72.16,74.0,2560420.0
2019-05-07,73.5,73.75,71.43,72.28,2524460.0
2019-05-08,71.61,71.8,69.91,71.38,2863706.0
2019-05-09,70.91,70.98,68.69,69.3,3095227.0
2019-05-10,69.88,70.12,68.64,68.87,3311601.0
2019-05-13,68.8,68.8,67.03,68.06,2857093.0
2019-05-14,68.67,68.7,67.42,67.88,2065886.0
2019-05-15,68.3,71.3,66.53,70.0,4082038.0
2019-05-16,70.04,70.57,68.93,69.8,3459647.0
2019-05-17,66.53,66.69,65.07,66.16,3285738.0
