Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-01-02,18.435,18.435,17.87,18.12,1934035.0
2019-01-03,17.955,18.285,17.89,18.005,1792246.0
2019-01-04,18.175,18.905,18.075,18.905,2750582.0
2019-01-07,18.94,19.415,18.94,19.385,2536729.0
2019-01-08,19.38,19.885,19.265,19.635,3261137.0
2019-01-09,19.875,20.27,19.57,19.795,2997551.0
2019-01-10,19.595,20.07,19.395,20.07,2446236.0
2019-01-11,20.16,20.44,19.935,20.31,2658444.0
2019-01-14,20.07,20.5,19.95,20.37,1869685.0
2019-01-15,20.59,20.86,20.13,20.64,3648430.0
2019-01-16,20.61,21.38,20.59,21.32,4033171.0
2019-01-17,21.2,21.31,20.84,21.09,2482361.0
2019-01-18,21.3,21.59,21.07,21.33,2406143.0
2019-01-21,21.31,21.39,21.19,21.25,1263187.0
2019-01-22,21.15,21.37,21.09,21.34,1756827.0
2019-01-23,21.24,21.28,20.89,21.0,3242209.0
2019-01-24,20.86,21.57,20.79,21.57,2130007.0
2019-01-25,21.69,21.95,21.69,21.93,2518674.0
2019-01-28,21.74,21.99,21.56,21.58,2014747.0
2019-01-29,21.51,22.04,21.19,21.69,2281409.0
2019-01-30,21.88,22.01,21.64,21.86,1739823.0
2019-01-31,21.88,22.23,21.59,21.99,2476121.0
2019-02-01,22.2,22.42,22.02,22.24,1929049.0
2019-02-04,22.23,22.35,21.72,21.89,1765704.0
2019-02-05,21.99,22.08,21.67,21.92,1369292.0
2019-02-06,21.81,21.91,21.49,21.56,2700591.0
2019-02-07,21.48,21.63,20.92,20.92,3709449.0
2019-02-08,20.81,21.14,20.51,20.62,2538835.0
2019-02-11,20.75,21.2,20.74,21.08,2368848.0
2019-02-12,21.64,21.9,21.5,21.68,2976075.0
2019-02-13,21.8,21.88,21.36,21.39,2408846.0
2019-02-14,21.47,21.68,20.87,20.93,2512137.0
2019-02-15,20.55,21.36,20.37,21.29,3170530.0
2019-02-18,21.23,21.47,21.08,21.37,1770806.0
2019-02-19,21.31,21.68,21.24,21.57,1746433.0
2019-02-20,21.67,22.2,21.61,22.18,2970438.0
2019-02-21,22.24,22.41,22.14,22.35,2014598.0
2019-02-22,22.24,22.47,22.13,22.31,1546664.0
2019-02-25,22.5,22.87,22.36,22.76,2635966.0
2019-02-26,22.52,22.55,21.57,22.09,5070481.0
2019-02-27,22.0,22.68,21.88,22.5,3406373.0
2019-02-28,22.25,22.44,22.22,22.36,2460117.0
2019-03-01,22.52,23.14,22.46,22.81,3349658.0
2019-03-04,23.1,23.25,22.94,23.08,2666998.0
2019-03-05,22.95,23.05,22.64,22.8,2542961.0
2019-03-06,22.6,22.66,22.18,22.21,2780940.0
2019-03-07,22.02,22.05,21.32,21.35,3983952.0
2019-03-08,21.08,21.32,20.84,21.13,3042043.0
2019-03-11,21.13,21.57,21.12,21.55,1837410.0
2019-03-12,21.66,21.82,21.39,21.39,1944705.0
2019-03-13,21.31,21.65,21.29,21.65,2033407.0
2019-03-14,21.61,22.0,21.61,21.87,2283988.0
2019-03-15,21.82,22.22,21.75,22.16,3422391.0
2019-03-18,22.16,22.54,22.15,22.28,1554509.0
2019-03-19,22.29,22.94,22.21,22.89,2641384.0
2019-03-20,22.88,22.95,22.15,22.15,2255813.0
2019-03-21,22.11,22.5,22.02,22.2,1197216.0
2019-03-22,22.32,22.4,21.68,21.75,2231849.0
2019-03-25,21.46,21.75,20.76,21.12,2788682.0
2019-03-26,21.27,21.36,20.9,21.06,2117130.0
2019-03-27,21.19,21.94,21.12,21.63,2983354.0
2019-03-28,21.6,21.71,21.32,21.32,1690407.0
2019-03-29,21.52,21.84,21.5,21.74,2210294.0
2019-04-01,22.04,22.65,22.0,22.65,2616658.0
2019-04-02,22.74,23.1,22.44,23.03,2624925.0
2019-04-03,23.02,23.54,23.0,23.23,2677915.0
2019-04-04,23.11,23.41,22.86,23.31,2168781.0
2019-04-05,23.31,23.42,23.23,23.23,1806107.0
2019-04-08,23.0,23.3,22.9,23.17,1948164.0
2019-04-09,23.04,23.47,22.88,22.95,1741340.0
2019-04-10,22.9,23.23,22.81,22.91,2130071.0
2019-04-11,23.04,23.57,23.04,23.48,2417850.0
2019-04-12,23.45,24.09,23.32,23.93,2567227.0
2019-04-15,23.9,24.14,23.84,24.09,1546779.0
2019-04-16,24.15,24.47,24.13,24.21,2078137.0
2019-04-17,24.31,24.73,24.24,24.55,1998465.0
2019-04-18,24.6,25.02,24.44,24.83,2829011.0
2019-04-23,24.77,24.99,24.57,24.71,2575096.0
2019-04-24,24.4,24.79,24.02,24.29,3183158.0
2019-04-25,23.86,24.21,23.29,23.55,3063508.0
2019-04-26,23.59,23.7,23.26,23.27,2267394.0
2019-04-29,23.26,23.55,23.26,23.37,1722705.0
2019-04-30,23.25,23.43,22.92,23.36,2202585.0
2019-05-02,22.95,23.1,22.6,22.9,2322792.0
2019-05-03,22.78,22.86,22.5,22.64,1447877.0
2019-05-06,22.1,22.16,21.68,22.16,2057375.0
2019-05-07,22.02,22.23,21.62,21.76,2170486.0
2019-05-08,21.73,21.97,21.57,21.78,1864781.0
2019-05-09,21.5,21.65,21.14,21.24,2772657.0
2019-05-10,21.39,21.65,20.92,21.16,1925393.0
2019-05-13,21.06,21.06,20.41,20.62,2536090.0
2019-05-14,20.73,21.07,20.5,21.07,2938206.0
2019-05-15,21.22,21.58,20.72,21.41,3131605.0
2019-05-16,21.39,21.4,20.9,21.36,3130775.0
2019-05-17,21.25,21.45,21.08,21.37,2006345.0
2019-05-20,21.25,21.44,20.77,21.0,1770612.0
2019-05-21,21.12,21.36,21.0,21.29,1979567.0
2019-05-22,21.28,21.34,20.84,20.87,1706488.0
2019-05-23,20.53,20.83,20.35,20.49,2563617.0
2019-05-24,20.72,20.9,20.41,20.59,2574444.0
2019-05-27,21.06,21.17,19.705,19.92,3405000.0
2019-05-28,20.06,20.9,20.06,20.84,5475828.0
2019-05-29,20.7,20.73,20.23,20.33,2996900.0
2019-05-30,20.46,20.55,20.01,20.1,1398429.0
2019-05-31,19.7,19.97,19.605,19.97,2777530.0
2019-06-03,19.8,19.98,19.515,19.98,2049493.0
2019-06-04,19.75,20.5,19.75,20.46,2672631.0
2019-06-05,20.58,20.74,20.38,20.6,2055977.0
2019-06-06,20.55,21.23,20.43,20.6,3262053.0
2019-06-07,20.74,20.77,20.4,20.54,1943023.0
2019-06-10,20.8,20.97,20.7,20.88,937994.0
2019-06-11,20.96,21.13,20.92,21.12,1929906.0
2019-06-12,20.92,21.09,20.74,20.79,1774837.0
2019-06-13,20.71,21.1,20.59,20.9,1776807.0
2019-06-14,20.86,20.89,20.35,20.72,1459811.0
2019-06-17,20.75,20.94,20.58,20.83,1251518.0
2019-06-18,20.83,21.41,20.73,21.36,1973656.0
2019-06-19,21.43,21.8,21.26,21.37,2603809.0
2019-06-20,21.49,21.87,21.47,21.52,2366439.0
2019-06-21,21.52,21.68,21.36,21.68,3895006.0
2019-06-24,21.55,21.73,21.37,21.39,1338493.0
2019-06-25,21.18,21.41,21.05,21.1,1551609.0
2019-06-26,21.03,21.43,20.97,21.31,1988759.0
2019-06-27,21.46,21.75,21.41,21.56,1756763.0
2019-06-28,21.63,21.7,21.33,21.67,1869699.0
2019-07-01,22.07,22.3,21.66,21.66,1695283.0
2019-07-02,21.73,21.82,21.53,21.77,1636457.0
2019-07-03,21.72,22.16,21.67,22.01,1611399.0
2019-07-04,22.02,22.23,22.0,22.03,1046713.0
2019-07-05,22.13,22.13,21.89,22.05,1384929.0
2019-07-08,21.94,22.34,21.9,22.13,1783254.0
2019-07-09,22.09,22.09,21.43,21.62,2103570.0
2019-07-10,21.62,21.8,21.42,21.43,1859955.0
2019-07-11,21.56,21.77,21.4,21.62,1976754.0
2019-07-12,21.33,22.27,21.33,22.03,2247819.0
2019-07-15,22.01,22.42,22.01,22.23,1674323.0
2019-07-16,22.45,22.48,22.04,22.32,2201434.0
2019-07-17,22.22,22.35,22.05,22.09,1186450.0
2019-07-18,21.82,22.03,21.63,21.93,1487584.0
2019-07-19,22.01,22.27,21.88,21.9,1355304.0
2019-07-22,21.76,22.05,21.74,21.91,1388943.0
2019-07-23,22.05,22.92,22.04,22.72,2682789.0
2019-07-24,23.4,23.46,22.43,23.06,4198206.0
2019-07-25,23.44,23.59,22.73,23.05,2639739.0
2019-07-26,22.9,22.99,22.39,22.5,1843633.0
2019-07-29,22.46,22.46,21.89,22.09,1758223.0
2019-07-30,22.16,22.21,21.16,21.34,2529614.0
2019-07-31,21.34,21.64,21.33,21.36,2353505.0
2019-08-01,21.3,21.47,20.94,21.15,1660019.0
2019-08-02,20.52,20.57,20.14,20.36,2698423.0
2019-08-05,20.12,20.24,19.64,19.9,2131456.0
2019-08-06,19.935,20.15,19.795,19.955,2191491.0
2019-08-07,20.12,21.27,19.32,19.795,3695295.0
2019-08-08,20.27,20.37,19.885,20.22,2219857.0
2019-08-09,20.19,20.24,19.73,19.83,1428183.0
2019-08-12,19.96,20.13,19.765,19.885,1481532.0
2019-08-13,19.79,20.19,19.345,19.835,2208386.0
2019-08-14,19.875,19.915,19.145,19.255,1848980.0
2019-08-15,19.33,19.42,18.805,18.885,2449709.0
2019-08-16,18.98,19.03,18.81,19.005,1772058.0
2019-08-19,19.145,19.47,19.09,19.365,1641098.0
2019-08-20,19.38,19.42,19.04,19.095,1634968.0
2019-08-21,19.14,19.445,19.06,19.175,1671315.0
2019-08-22,19.095,19.485,19.085,19.235,1427478.0
2019-08-23,19.325,19.485,18.895,18.895,1579078.0
2019-08-26,18.925,19.235,18.785,19.175,1374396.0
2019-08-27,19.245,19.695,18.99,19.69,2933323.0
2019-08-28,19.57,19.74,19.405,19.615,1664669.0
2019-08-29,19.51,20.0,19.385,19.965,1585138.0
2019-08-30,20.0,20.5,19.92,20.33,2295458.0
2019-09-02,20.3,20.38,20.15,20.23,1033958.0
2019-09-03,20.11,20.31,19.83,20.22,1658251.0
2019-09-04,20.45,20.75,20.38,20.71,1767976.0
2019-09-05,20.97,21.49,20.85,21.46,2629160.0
2019-09-06,21.55,22.2,21.52,22.1,3559463.0
2019-09-09,21.94,22.87,21.91,22.87,2151574.0
2019-09-10,22.86,23.47,22.84,23.36,4408354.0
2019-09-11,23.5,24.03,23.19,23.21,3658442.0
2019-09-12,23.28,23.84,23.27,23.68,3615288.0
2019-09-13,23.6,24.11,23.56,24.06,2822378.0
2019-09-16,23.82,24.14,23.45,23.95,2130556.0
2019-09-17,23.44,23.85,23.33,23.57,2580176.0
